season,ref,game_pk,game_date,game_type,fielding_team,batting_team,pitcher,pitch_hand,pitcher_split,men_on_base,batter,venue,day_night,home_away_pitching,BF,AB,H,singles,doubles,triples,HR,BB,IBB,SO,HBP,SF,total_outs
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_LHB,Empty,J.P. Crawford,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_LHB,Empty,Luke Raley,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Cal Raleigh,T-Mobile Park,night,away,2,2,1,0,0,0,1,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Dylan Moore,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Jorge Polanco,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Randy Arozarena,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Ryan Bliss,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Empty,Victor Robles,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,Men_On,Julio Rodríguez,T-Mobile Park,night,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,RISP,Jorge Polanco,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brant Hurter,L,vs_RHB,RISP,Randy Arozarena,T-Mobile Park,night,away,1,1,1,0,1,0,0,0,0,0,0,0,0
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brenan Hanifee,R,vs_LHB,Men_On,Jorge Polanco,T-Mobile Park,night,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brenan Hanifee,R,vs_LHB,RISP,Cal Raleigh,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brenan Hanifee,R,vs_RHB,RISP,Julio Rodríguez,T-Mobile Park,night,away,1,1,1,0,0,1,0,0,0,0,0,0,0
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Brenan Hanifee,R,vs_RHB,RISP,Randy Arozarena,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Jackson Jobe,R,vs_LHB,Empty,Cal Raleigh,T-Mobile Park,night,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Jackson Jobe,R,vs_LHB,Empty,Jorge Polanco,T-Mobile Park,night,away,2,2,0,0,0,0,0,0,0,0,0,0,2
2025,202503,778496,2025-03-31,R,Detroit Tigers,Seattle Mariners,Jackson Jobe,R,vs_LHB,Empty,Luke Raley,T-Mobile Park,night,away,1,1,1,0,0,0,1,0,0,0,0,0,0
