record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Jackson Chourio,694192,R,vs_LHP,Max Fried,608331,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Jackson Chourio grounds out, pitcher Max Fried to first baseman Paul Goldschmidt.",Cutter,"In play, out(s)",93.7,2139.0,-21.1,0.4,62.0,-33.0,5.0,ground_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Christian Yelich,592885,L,vs_LHP,Max Fried,608331,L,vs_LHB,Men_On,Walk,walk,0,False,False,0,Christian Yelich walks.,Cutter,Ball,92.6,2189.0,-21.5,3.0,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,William Contreras,661388,R,vs_LHP,Max Fried,608331,L,vs_RHB,Men_On,Strikeout,strikeout,0,True,False,1,William Contreras called out on strikes.,Curveball,Called Strike,77.1,3010.0,-66.6,13.2,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Rhys Hoskins,656555,R,vs_LHP,Max Fried,608331,L,vs_RHB,Empty,Lineout,field_out,0,True,False,1,Rhys Hoskins lines out sharply to shortstop Anthony Volpe.,Sinker,"In play, out(s)",95.6,2161.0,-30.0,-8.5,106.4,10.0,176.0,line_drive,hard
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Paul Goldschmidt,502671,R,vs_LHP,Nestor Cortes,641482,L,vs_RHB,Empty,Home Run,home_run,1,False,True,0,Paul Goldschmidt homers (1) on a fly ball to left center field.,Four-Seam Fastball,"In play, run(s)",90.1,2096.0,-15.4,-6.6,109.2,36.0,413.0,fly_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Cody Bellinger,641355,L,vs_LHP,Nestor Cortes,641482,L,vs_LHB,Empty,Home Run,home_run,1,False,True,0,Cody Bellinger homers (1) on a fly ball to right center field.,Four-Seam Fastball,"In play, run(s)",90.6,2288.0,-13.9,-3.5,108.3,29.0,451.0,fly_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Aaron Judge,592450,R,vs_LHP,Nestor Cortes,641482,L,vs_RHB,Empty,Home Run,home_run,1,False,True,0,Aaron Judge homers (1) on a fly ball to left field.,Cutter,"In play, run(s)",88.2,2384.0,-21.6,4.1,115.0,30.0,468.0,fly_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Jazz Chisholm Jr.,665862,L,vs_LHP,Nestor Cortes,641482,L,vs_LHB,Empty,Strikeout,strikeout,0,True,False,1,Jazz Chisholm Jr. called out on strikes.,Four-Seam Fastball,Called Strike,91.2,2324.0,-14.2,-5.5,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Anthony Volpe,683011,R,vs_LHP,Nestor Cortes,641482,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Anthony Volpe grounds out softly, pitcher Nestor Cortes to first baseman Rhys Hoskins.",Changeup,"In play, out(s)",82.1,1399.0,-35.6,-13.7,57.8,-49.0,4.0,ground_ball,soft
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Austin Wells,669224,L,vs_LHP,Nestor Cortes,641482,L,vs_LHB,Empty,Home Run,home_run,1,False,True,0,Austin Wells homers (2) on a fly ball to left center field.,Four-Seam Fastball,"In play, run(s)",91.2,2402.0,-13.4,-3.2,102.3,38.0,372.0,fly_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Pablo Reyes,622569,R,vs_LHP,Nestor Cortes,641482,L,vs_RHB,Men_On,Walk,walk,0,False,False,0,Pablo Reyes walks.,Cutter,Ball,86.6,2372.0,-24.4,6.0,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Jasson Domínguez,691176,R,vs_LHP,Nestor Cortes,641482,L,vs_RHB,RISP,Walk,walk,0,False,False,0,Jasson Domínguez walks. Pablo Reyes to 2nd.,Four-Seam Fastball,Ball,89.3,2336.0,-14.8,-1.8,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,New York Yankees,Milwaukee Brewers,home,away,day,Trent Grisham,663757,L,vs_LHP,Nestor Cortes,641482,L,vs_LHB,Empty,Strikeout,strikeout,0,True,False,1,Trent Grisham called out on strikes.,Four-Seam Fastball,Called Strike,91.9,2129.0,-13.6,-6.8,,,,,
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Sal Frelick,686217,L,vs_LHP,Max Fried,608331,L,vs_LHB,Men_On,Single,single,0,False,False,0,Sal Frelick singles on a soft ground ball to first baseman Paul Goldschmidt.,Sinker,"In play, no out",93.2,1998.0,-28.6,-11.6,48.9,-49.0,2.0,ground_ball,soft
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Joey Ortiz,687401,R,vs_LHP,Max Fried,608331,L,vs_RHB,Men_On,Groundout,field_out,0,True,False,1,Joey Ortiz grounds out to catcher Austin Wells. Joey Ortiz out on batter interference.,Sinker,"In play, out(s)",95.1,2073.0,-24.7,-9.5,,,,ground_ball,medium
pitch,778538,2025-03-29,2025,202503,Yankee Stadium,Milwaukee Brewers,New York Yankees,away,home,day,Garrett Mitchell,669003,L,vs_LHP,Max Fried,608331,L,vs_LHB,RISP,Hit By Pitch,hit_by_pitch,0,False,False,0,Garrett Mitchell hit by pitch. Sal Frelick to 2nd.,Sinker,Hit By Pitch,96.4,2113.0,-21.5,-13.4,,,,,
